,species_common_name,period,ace_transfer_price,starting_year,fishing_year,wt_ace_2,wt_ace_1
187,Barracouta,Starting Oct 2020,0.110275686,2020,2021,,0.082706764
188,Barracouta,Starting Oct 2021,0.112023105,2021,2021,0.028005776,
188,Barracouta,Starting Oct 2021,0.112023105,2021,2022,,0.084017329
189,Bigeye Tuna,Starting Oct 2004,8.0971,2004,2004,2.024275,
189,Bigeye Tuna,Starting Oct 2004,8.0971,2004,2005,,6.072825
190,Bigeye Tuna,Starting Oct 2005,5.2517,2005,2005,1.312925,
190,Bigeye Tuna,Starting Oct 2005,5.2517,2005,2006,,3.938775
191,Blue Cod,Starting Oct 2001,0.537454899,2001,2001,0.134363725,
191,Blue Cod,Starting Oct 2001,0.537454899,2001,2002,,0.403091174
192,Blue Cod,Starting Oct 2002,0.588897664,2002,2002,0.147224416,
192,Blue Cod,Starting Oct 2002,0.588897664,2002,2003,,0.441673248
193,Blue Cod,Starting Oct 2003,0.693075205,2003,2003,0.173268801,
193,Blue Cod,Starting Oct 2003,0.693075205,2003,2004,,0.519806404
194,Blue Cod,Starting Oct 2004,0.630214743,2004,2004,0.157553686,
194,Blue Cod,Starting Oct 2004,0.630214743,2004,2005,,0.472661058
195,Blue Cod,Starting Oct 2005,0.684662452,2005,2005,0.171165613,
195,Blue Cod,Starting Oct 2005,0.684662452,2005,2006,,0.513496839
196,Blue Cod,Starting Oct 2006,0.693911027,2006,2006,0.173477757,
196,Blue Cod,Starting Oct 2006,0.693911027,2006,2007,,0.52043327
197,Blue Cod,Starting Oct 2007,0.736238204,2007,2007,0.184059551,
197,Blue Cod,Starting Oct 2007,0.736238204,2007,2008,,0.552178653
198,Blue Cod,Starting Oct 2008,0.771907357,2008,2008,0.192976839,
198,Blue Cod,Starting Oct 2008,0.771907357,2008,2009,,0.578930518
199,Blue Cod,Starting Oct 2009,0.926680221,2009,2009,0.231670055,
199,Blue Cod,Starting Oct 2009,0.926680221,2009,2010,,0.695010166
200,Blue Cod,Starting Oct 2010,0.916365375,2010,2010,0.229091344,
200,Blue Cod,Starting Oct 2010,0.916365375,2010,2011,,0.687274031
201,Blue Cod,Starting Oct 2011,0.94952984,2011,2011,0.23738246,
201,Blue Cod,Starting Oct 2011,0.94952984,2011,2012,,0.71214738
202,Blue Cod,Starting Oct 2012,1.033112274,2012,2012,0.258278068,
202,Blue Cod,Starting Oct 2012,1.033112274,2012,2013,,0.774834205
203,Blue Cod,Starting Oct 2013,1.153048521,2013,2013,0.28826213,
203,Blue Cod,Starting Oct 2013,1.153048521,2013,2014,,0.86478639
204,Blue Cod,Starting Oct 2014,1.292593184,2014,2014,0.323148296,
204,Blue Cod,Starting Oct 2014,1.292593184,2014,2015,,0.969444888
205,Blue Cod,Starting Oct 2015,1.360648077,2015,2015,0.340162019,
205,Blue Cod,Starting Oct 2015,1.360648077,2015,2016,,1.020486058
206,Blue Cod,Starting Oct 2016,1.404562454,2016,2016,0.351140614,
206,Blue Cod,Starting Oct 2016,1.404562454,2016,2017,,1.053421841
207,Blue Cod,Starting Oct 2017,1.407982106,2017,2017,0.351995526,
