"","species","fishing_year","wt_port_price"
"679","Longfinned eel",2022,3.352349946
"680","Look Down Dory",2008,0.176666667
"681","Look Down Dory",2009,0.706666667
"682","Look Down Dory",2010,0.890833333
"683","Look Down Dory",2011,1.465
"684","Look Down Dory",2012,1.5275
"685","Look Down Dory",2013,1.5625
"686","Look Down Dory",2014,1.665
"687","Look Down Dory",2015,1.605833333
"688","Look Down Dory",2016,1.649166667
"689","Look Down Dory",2017,1.610833333
"690","Look Down Dory",2018,1.524674298
"691","Look Down Dory",2019,1.477576201
"692","Look Down Dory",2020,1.44647835
"693","Look Down Dory",2021,1.516376564
"694","Look Down Dory",2022,1.076763808
"695","Mako Shark",2008,0.1125
"696","Mako Shark",2009,0.45
"697","Mako Shark",2010,0.46
"698","Mako Shark",2011,0.4525
"699","Mako Shark",2012,0.34
"700","Mako Shark",2013,0.33
"701","Mako Shark",2014,0.315
"702","Mako Shark",2015,0.36
"703","Mako Shark",2016,0.365
"704","Mako Shark",2017,0.3575
"705","Mako Shark",2018,0.290499504
"706","Mako Shark",2019,0.291998015
"707","Mako Shark",2020,0.291998015
"708","Mako Shark",2021,0.291998015
"709","Mako Shark",2022,0.218998511
"710","Moonfish",2008,0.4575
"711","Moonfish",2009,1.83
"712","Moonfish",2010,2.1875
"713","Moonfish",2011,2.9225
"714","Moonfish",2012,1.905
"715","Moonfish",2013,1.89
"716","Moonfish",2014,1.89
"717","Moonfish",2015,1.89
"718","Moonfish",2016,1.8825
"719","Moonfish",2017,1.9025
"720","Moonfish",2018,2.031238701
"721","Moonfish",2019,2.034954803
"722","Moonfish",2020,2.034954803
"723","Moonfish",2021,2.034954803
"724","Moonfish",2022,1.526216102
"725","Octopus",2008,0.3825
"726","Octopus",2009,1.53
"727","Octopus",2010,1.6825
"728","Octopus",2011,2.2275
"729","Octopus",2012,2.4875
"730","Octopus",2013,2.48
"731","Octopus",2014,2.466111111
"732","Octopus",2015,2.424444444
"733","Octopus",2016,2.575833333
"734","Octopus",2017,2.2725
"735","Octopus",2018,0.7575
"736","Octopus",2019,3.03
"737","Octopus",2020,3.03
"738","Octopus",2021,3.489409282
"739","Octopus",2022,3.650727846
"740","Orange Roughy",2008,0.7475
"741","Orange Roughy",2009,2.99
"742","Orange Roughy",2010,2.8390625
"743","Orange Roughy",2011,2.485625
"744","Orange Roughy",2012,2.703125
"745","Orange Roughy",2013,2.3896875
"746","Orange Roughy",2014,2.165
"747","Orange Roughy",2015,2.190625
"748","Orange Roughy",2016,2.425
"749","Orange Roughy",2017,2.6096875
"750","Orange Roughy",2018,2.66394377
"751","Orange Roughy",2019,2.803356127
"752","Orange Roughy",2020,2.256554094
"753","Orange Roughy",2021,2.313309496
"754","Orange Roughy",2022,1.834299204
"755","Oreo",2008,0.2
"756","Oreo",2009,0.8
"757","Oreo",2010,0.805
"758","Oreo",2011,0.84
"759","Oreo",2012,0.8975
"760","Oreo",2013,0.89
"761","Oreo",2014,0.89
"762","Oreo",2015,0.885
"763","Oreo",2016,0.8225
"764","Oreo",2017,0.68
"765","Oreo",2018,0.657402574
"766","Oreo",2019,0.620539338
"767","Oreo",2020,0.713326463
"768","Oreo",2021,0.777660139
"769","Oreo",2022,0.727995877
"770","Oyster   Foveuax Strait (note: price is $/kg greenweight)",2008,1.2175
