Combined Port Price Data ($/kg) Greenweight,Year range =  October to September,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Fish Stock,Species,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/2022
CRA4,Crayfish,38.53,38.53,56.61,63.00,68.30,68.30,72.00,72.00,74.60,85.74,79.58,85.83898125,79.92681623,68.23442216
CRA5,Crayfish,38.53,38.53,56.61,63.00,68.30,68.30,72.00,72.00,74.60,83.94,79.58,85.83898125,79.92681623,68.23442216
CRA6,Crayfish,38.53,38.53,56.61,63.00,68.30,68.30,64.00,72.00,74.60,74.60,79.58,85.83898125,79.92681623,68.23442216
CRA7,Crayfish,38.53,38.53,56.61,63.00,50.00,50.00,45.00,72.00,74.60,70.90,79.58,85.83898125,79.92681623,68.23442216
CRA8,Crayfish,38.53,38.53,56.61,63.00,68.30,69.73,72.00,72.00,74.60,84.21,79.58,85.83898125,79.92681623,68.23442216
CRA9,Crayfish,38.53,38.53,56.61,63.00,68.30,68.30,68.00,72.00,74.60,80.91,79.58,85.83898125,79.92681623,68.23442216
DAN1,Surf Clam   ringed dosinia,2.60,2.60,3.14,3.15,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13
DAN2,Surf Clam   ringed dosinia,2.60,2.60,3.14,3.15,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13
DAN3,Surf Clam   ringed dosinia,2.60,2.60,3.14,3.15,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13
DAN4,Surf Clam   ringed dosinia,2.60,2.60,3.14,3.15,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13
DAN5,Surf Clam   ringed dosinia,2.60,2.60,3.14,3.15,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13
DAN7,Surf Clam   ringed dosinia,2.60,2.60,3.14,3.15,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,1.5
DAN8,Surf Clam   ringed dosinia,2.60,2.60,3.14,3.15,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13
DAN9,Surf Clam   ringed dosinia,2.60,2.60,3.14,3.15,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13
DSU1,Surf Clam   silky dosinia,2.40,2.40,2.90,2.91,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89
DSU2,Surf Clam   silky dosinia,2.40,2.40,2.90,2.91,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89
DSU3,Surf Clam   silky dosinia,2.40,2.40,2.90,2.91,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89
DSU4,Surf Clam   silky dosinia,2.40,2.40,2.90,2.91,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89
DSU5,Surf Clam   silky dosinia,2.40,2.40,2.90,2.91,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89
DSU7,Surf Clam   silky dosinia,2.40,2.40,2.90,2.91,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89
DSU8,Surf Clam   silky dosinia,2.40,2.40,2.90,2.91,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89
DSU9,Surf Clam   silky dosinia,2.40,2.40,2.90,2.91,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89
ELE1,Elephant Fish,2.37,2.37,2.10,2.42,2.40,2.40,2.40,2.40,2.36,2.59,2.585810057,2.502639803,1.596312465,1.596312465
ELE10,Elephant Fish,2.37,2.37,2.10,2.42,2.40,2.40,2.40,2.40,2.40,2.40,2.4,2.4,2.4,2.4
ELE2,Elephant Fish,2.37,2.37,1.41,1.79,1.78,1.54,1.81,1.62,1.45,1.93,1.545013463,2.502639803,1.045717249,1.327782415
