"","fishing_period","species_code","tacc_kg","catch_kg","starting_year"
"232","for 12 months to 30-09-2018","SPE",219000,NA,2017
"233","for 12 months to 30-09-2018","SPO",327677.333333333,243203.333333333,2017
"234","for 12 months to 30-09-2018","SPR",90000,NA,2017
"235","for 12 months to 30-09-2018","SQU",20530070.25,5768173.25,2017
"236","for 12 months to 30-09-2018","SSK",169800,NA,2017
"237","for 12 months to 30-09-2018","STA",692050,NA,2017
"238","for 12 months to 30-09-2018","STN",971000,1008136,2017
"239","for 12 months to 30-09-2018","SUR",95583.3333333333,NA,2017
"240","for 12 months to 30-09-2018","SWA",2595050.25,NA,2017
"241","for 12 months to 30-09-2018","SWO",885000,475014,2017
"242","for 12 months to 30-09-2018","TAR",804896.625,NA,2017
"243","for 12 months to 30-09-2018","TOR",116000,20706,2017
"244","for 12 months to 30-09-2018","TRE",786620.6,NA,2017
"245","for 12 months to 30-09-2018","TRU",14400,NA,2017
"246","for 12 months to 30-09-2018","TUA",4777.77777777778,NA,2017
"247","for 12 months to 30-09-2018","WAR",752059.666666667,NA,2017
"248","for 12 months to 30-09-2018","WWA",415000,NA,2017
"249","for 12 months to 30-09-2018","YEM",6800,NA,2017
"250","for 12 months to 30-09-2018","YFN",263000,23074,2017
"251","for 12 months to 30-09-2019","ANC",80000,NA,2018
"252","for 12 months to 30-09-2019","BAR",6680492.2,NA,2018
"253","for 12 months to 30-09-2019","BCO",291453.125,NA,2018
"254","for 12 months to 30-09-2019","BIG",714000,54557,2018
"255","for 12 months to 30-09-2019","BNS",105000,NA,2018
"256","for 12 months to 30-09-2019","BUT",20250,NA,2018
"257","for 12 months to 30-09-2019","BWS",1860000,100625,2018
"258","for 12 months to 30-09-2019","BYX",499283.333333333,NA,2018
"259","for 12 months to 30-09-2019","CDL",196800,NA,2018
"260","for 12 months to 30-09-2019","COC",247230.769230769,NA,2018
"261","for 12 months to 30-09-2019","ELE",243916.666666667,NA,2018
"262","for 12 months to 30-09-2019","EMA",2310000,NA,2018
"263","for 12 months to 30-09-2019","FLA",1024300,NA,2018
"264","for 12 months to 30-09-2019","FRO",401900,NA,2018
"265","for 12 months to 30-09-2019","GAR",7142.85714285714,NA,2018
"266","for 12 months to 30-09-2019","GLM",209375,NA,2018
"267","for 12 months to 30-09-2019","GMU",201120.2,NA,2018
"268","for 12 months to 30-09-2019","GSH",304700,NA,2018
"269","for 12 months to 30-09-2019","GSP",593333.333333333,280183.666666667,2018
"270","for 12 months to 30-09-2019","GUR",976864.5,NA,2018
"271","for 12 months to 30-09-2019","HAK",2643785.75,NA,2018
"272","for 12 months to 30-09-2019","HOK",75005000,NA,2018
"273","for 12 months to 30-09-2019","HPB",272700,NA,2018
"274","for 12 months to 30-09-2019","JDO",174880,NA,2018
"275","for 12 months to 30-09-2019","JMA",12831803.5,NA,2018
"276","for 12 months to 30-09-2019","KAH",454666.666666667,NA,2018
"277","for 12 months to 30-09-2019","KBB",754800,NA,2018
"278","for 12 months to 30-09-2019","KIN",31714.2857142857,NA,2018
"279","for 12 months to 30-09-2019","KWH",6700,NA,2018
"280","for 12 months to 30-09-2019","LDO",261000,NA,2018
"281","for 12 months to 30-09-2019","LEA",292200,NA,2018
"282","for 12 months to 30-09-2019","LFE",12454.5454545455,NA,2018
"283","for 12 months to 30-09-2019","LIN",2996500,NA,2018
"284","for 12 months to 30-09-2019","MAK",2e+05,27000,2018
"285","for 12 months to 30-09-2019","MOK",128181.2,NA,2018
"286","for 12 months to 30-09-2019","MOO",527000,45248,2018
"287","for 12 months to 30-09-2019","OEO",3092000,NA,2018
"288","for 12 months to 30-09-2019","ORH",1228375,NA,2018
"289","for 12 months to 30-09-2019","OYS",56590.9090909091,NA,2018
"290","for 12 months to 30-09-2019","OYU",14950000,9493545,2018
"291","for 12 months to 30-09-2019","PAD",76500,NA,2018
"292","for 12 months to 30-09-2019","PAR",21000,NA,2018
"293","for 12 months to 30-09-2019","PAU",91906.4,NA,2018
"294","for 12 months to 30-09-2019","PIL",355000,NA,2018
"295","for 12 months to 30-09-2019","POR",20750,NA,2018
"296","for 12 months to 30-09-2019","POS",110000,36709,2018
"297","for 12 months to 30-09-2019","PPI",20400,NA,2018
"298","for 12 months to 30-09-2019","PRK",3272.72727272727,NA,2018
"299","for 12 months to 30-09-2019","PTO",49500,20,2018
"300","for 12 months to 30-09-2019","PZL",3937.5,NA,2018
"301","for 12 months to 30-09-2019","QSC",380000,12168,2018
"302","for 12 months to 30-09-2019","RBM",980000,141174,2018
"303","for 12 months to 30-09-2019","RBT",1262500,NA,2018
"304","for 12 months to 30-09-2019","RBY",83900,NA,2018
"305","for 12 months to 30-09-2019","RCO",1655673.4,NA,2018
"306","for 12 months to 30-09-2019","RIB",168300,NA,2018
"307","for 12 months to 30-09-2019","RSK",397200,NA,2018
"308","for 12 months to 30-09-2019","RSN",48666.6666666667,NA,2018
"309","for 12 months to 30-09-2019","SCH",429512.5,NA,2018
"310","for 12 months to 30-09-2019","SCI",119272.727272727,NA,2018
"311","for 12 months to 30-09-2019","SFE",53556.3636363636,NA,2018
"312","for 12 months to 30-09-2019","SKI",212078.8,NA,2018
"313","for 12 months to 30-09-2019","SNA",1067883.33333333,NA,2018
"314","for 12 months to 30-09-2019","SPD",1808571.42857143,NA,2018
"315","for 12 months to 30-09-2019","SPE",219000,NA,2018
"316","for 12 months to 30-09-2019","SPO",331844,NA,2018
"317","for 12 months to 30-09-2019","SPR",90000,NA,2018
"318","for 12 months to 30-09-2019","SQU",20530070.25,NA,2018
"319","for 12 months to 30-09-2019","SSK",169800,NA,2018
"320","for 12 months to 30-09-2019","STA",692050,NA,2018
"321","for 12 months to 30-09-2019","STN",1046000,956979,2018
"322","for 12 months to 30-09-2019","SUR",95583.3333333333,NA,2018
"323","for 12 months to 30-09-2019","SWA",2595050.25,NA,2018
"324","for 12 months to 30-09-2019","SWO",885000,262437,2018
"325","for 12 months to 30-09-2019","TAR",672900,NA,2018
"326","for 12 months to 30-09-2019","TOR",116000,21629,2018
"327","for 12 months to 30-09-2019","TRE",786620.6,617937.4,2018
"328","for 12 months to 30-09-2019","TRU",14400,NA,2018
"329","for 12 months to 30-09-2019","TUA",4777.77777777778,NA,2018
"330","for 12 months to 30-09-2019","WAR",752059.666666667,NA,2018
"331","for 12 months to 30-09-2019","WWA",415000,NA,2018
"332","for 12 months to 30-09-2019","YEM",6800,NA,2018
"333","for 12 months to 30-09-2019","YFN",263000,4919,2018
"334","for 12 months to 30-09-2020","ANC",80000,NA,2019
"335","for 12 months to 30-09-2020","BAR",6680492.2,NA,2019
"336","for 12 months to 30-09-2020","BCO",291453.125,NA,2019
"337","for 12 months to 30-09-2020","BIG",714000,59398,2019
"338","for 12 months to 30-09-2020","BNS",105000,NA,2019
"339","for 12 months to 30-09-2020","BUT",20250,NA,2019
"340","for 12 months to 30-09-2020","BWS",1860000,112288,2019
"341","for 12 months to 30-09-2020","BYX",499283.333333333,NA,2019
"342","for 12 months to 30-09-2020","CDL",196800,NA,2019
"343","for 12 months to 30-09-2020","COC",247230.769230769,NA,2019
"344","for 12 months to 30-09-2020","ELE",243950,NA,2019
"345","for 12 months to 30-09-2020","EMA",2310000,NA,2019
"346","for 12 months to 30-09-2020","FLA",1024300,382277.6,2019
"347","for 12 months to 30-09-2020","FRO",401900,NA,2019
"348","for 12 months to 30-09-2020","GAR",7142.85714285714,NA,2019
"349","for 12 months to 30-09-2020","GLM",209375,NA,2019
"350","for 12 months to 30-09-2020","GMU",201120.2,NA,2019
"351","for 12 months to 30-09-2020","GSH",304700,NA,2019
"352","for 12 months to 30-09-2020","GSP",593333.333333333,226989.666666667,2019
"353","for 12 months to 30-09-2020","GUR",993197.833333333,NA,2019
"354","for 12 months to 30-09-2020","HAK",1945785.75,NA,2019
"355","for 12 months to 30-09-2020","HOK",57505000,NA,2019
"356","for 12 months to 30-09-2020","HPB",272700,NA,2019
"357","for 12 months to 30-09-2020","JDO",179080,NA,2019
"358","for 12 months to 30-09-2020","JMA",12831803.5,NA,2019
"359","for 12 months to 30-09-2020","KAH",454666.666666667,NA,2019
"360","for 12 months to 30-09-2020","KBB",754800,NA,2019
"361","for 12 months to 30-09-2020","KIN",31714.2857142857,NA,2019
"362","for 12 months to 30-09-2020","KWH",6700,NA,2019
"363","for 12 months to 30-09-2020","LDO",261000,NA,2019
"364","for 12 months to 30-09-2020","LEA",292200,NA,2019
"365","for 12 months to 30-09-2020","LFE",12454.5454545455,NA,2019
"366","for 12 months to 30-09-2020","LIN",3034875,2057017.5,2019
"367","for 12 months to 30-09-2020","MAK",2e+05,29598,2019
"368","for 12 months to 30-09-2020","MOK",128181.2,NA,2019
"369","for 12 months to 30-09-2020","MOO",527000,47407,2019
"370","for 12 months to 30-09-2020","OEO",3092000,NA,2019
"371","for 12 months to 30-09-2020","ORH",1370750,NA,2019
"372","for 12 months to 30-09-2020","OYS",56590.9090909091,NA,2019
"373","for 12 months to 30-09-2020","OYU",14950000,8310096,2019
"374","for 12 months to 30-09-2020","PAD",76500,NA,2019
"375","for 12 months to 30-09-2020","PAR",21000,NA,2019
"376","for 12 months to 30-09-2020","PAU",91906.4,NA,2019
"377","for 12 months to 30-09-2020","PIL",355000,NA,2019
"378","for 12 months to 30-09-2020","POR",20750,NA,2019
"379","for 12 months to 30-09-2020","POS",110000,24924,2019
"380","for 12 months to 30-09-2020","PPI",20400,NA,2019
"381","for 12 months to 30-09-2020","PRK",3272.72727272727,NA,2019
"382","for 12 months to 30-09-2020","PTO",49500,5,2019
"383","for 12 months to 30-09-2020","PZL",3937.5,NA,2019
"384","for 12 months to 30-09-2020","QSC",380000,16605,2019
"385","for 12 months to 30-09-2020","RBM",980000,218833,2019
"386","for 12 months to 30-09-2020","RBT",1262500,NA,2019
"387","for 12 months to 30-09-2020","RBY",83900,NA,2019
"388","for 12 months to 30-09-2020","RCO",1655673.4,NA,2019
"389","for 12 months to 30-09-2020","RIB",168300,NA,2019
"390","for 12 months to 30-09-2020","RSK",397200,NA,2019
"391","for 12 months to 30-09-2020","RSN",48666.6666666667,NA,2019
"392","for 12 months to 30-09-2020","SCH",429512.5,326675.75,2019
"393","for 12 months to 30-09-2020","SCI",119272.727272727,NA,2019
"394","for 12 months to 30-09-2020","SFE",53556.3636363636,NA,2019
"395","for 12 months to 30-09-2020","SKI",331600,NA,2019
"396","for 12 months to 30-09-2020","SNA",1067883.33333333,NA,2019
"397","for 12 months to 30-09-2020","SPD",1808571.42857143,NA,2019
"398","for 12 months to 30-09-2020","SPE",219000,NA,2019
"399","for 12 months to 30-09-2020","SPO",336344,NA,2019
"400","for 12 months to 30-09-2020","SPR",90000,NA,2019
"401","for 12 months to 30-09-2020","SQU",20530070.25,10507904,2019
"402","for 12 months to 30-09-2020","SSK",169800,NA,2019
"403","for 12 months to 30-09-2020","STA",692050,NA,2019
"404","for 12 months to 30-09-2020","STN",1046000,856754,2019
"405","for 12 months to 30-09-2020","SUR",95583.3333333333,NA,2019
"406","for 12 months to 30-09-2020","SWA",2595050.25,NA,2019
"407","for 12 months to 30-09-2020","SWO",885000,216029,2019
"408","for 12 months to 30-09-2020","TAR",632400,NA,2019
"409","for 12 months to 30-09-2020","TOR",116000,47497,2019
"410","for 12 months to 30-09-2020","TRE",786620.6,NA,2019
"411","for 12 months to 30-09-2020","TRU",14400,NA,2019
"412","for 12 months to 30-09-2020","TUA",4777.77777777778,NA,2019
"413","for 12 months to 30-09-2020","WAR",752059.666666667,NA,2019
"414","for 12 months to 30-09-2020","WWA",415000,NA,2019
"415","for 12 months to 30-09-2020","YEM",6800,NA,2019
"416","for 12 months to 30-09-2020","YFN",263000,9700,2019
"417","for 12 months to 30-09-2021","ANC",80000,NA,2020
